index	STRING	DESC
1020124	獲得經驗值%+d%%	??? ??? ??.
1020125	獲得經驗值%+d%%	??? ??? ??.
1020128	獲得錢%+d%%	??? ??? ??.
1020129	獲得錢%+d%%	??? ??? ??.
1020132	物品發生機率%+d%%	??? ??? ??.
1020133	物品發生機率%+d%%	??? ??? ??.
1020136	屬性發生機率%+d%%	??? ??? ??.
1020137	屬性發生機率%+d%%	??? ??? ??.
1020140	物理傷害%+d	??? ??? ??.
1020141	物理傷害%+d%%	??? ??? ??.
1020144	物理減少傷害%+d	??? ??? ??.
1020145	物理減少傷害%+d%%	??? ??? ??.
1020148	目標防禦力減少%d%%	??? ??? ??.
1020149	目標防禦力減少%d%%	??? ??? ??.
1020152	跳躍攻擊力%+d	??? ??? ??.
1020153	跳躍攻擊力%+d%%	??? ??? ??.
1020156	物理爆擊傷害%+d%%	??? ??? ??.
1020157	物理爆擊傷害%+d%%	??? ??? ??.
1020158	物理爆擊機率%+d%%	??? ??? ??.
1020159	物理爆擊機率%+d%%	??? ??? ??.
1020162	魔法爆擊傷害%+d%%	??? ??? ??.
1020163	魔法爆擊傷害%+d%%	??? ??? ??.
1020164	魔法爆擊機率%+d%%	??? ??? ??.
1020165	魔法爆擊機率%+d%%	??? ??? ??.
1020168	治癒爆擊恢復量%+d%%	??? ??? ??.
1020169	治癒爆擊恢復量%+d%%	??? ??? ??.
1020172	治癒爆擊機率%+d%%	??? ??? ??.
1020173	治癒爆擊機率%+d%%	??? ??? ??.
1020176	物理命中率%+d%%	??? ??? ??.
1020177	物理命中率%+d%%	??? ??? ??.
1020180	魔法命中率%+d%%	??? ??? ??.
1020181	魔法命中率%+d%%	??? ??? ??.
1020184	物理回避率%+d%%	??? ??? ??.
1020185	物理回避率%+d%%	??? ??? ??.
1020188	魔法回避率%+d%%	??? ??? ??.
1020189	魔法回避率%+d%%	??? ??? ??.
1020192	物理回擊傷害%+d%%	??? ??? ??.
1020193	物理回擊傷害%+d%%	??? ??? ??.
1020196	魔法回擊傷害%+d%%	??? ??? ??.
1020197	魔法回擊傷害%+d%%	??? ??? ??.
1020200	物理攻擊等級%+d	??? ??? ??.
1020201	物理攻擊等級%+d	??? ??? ??.
1020204	物理攻擊等級[％]%+d	??? ??? ??.
1020205	物理攻擊等級[％]%+d	??? ??? ??.
1020208	魔法攻擊等級%+d	??? ??? ??.
1020209	魔法攻擊等級%+d	??? ??? ??.
1020212	魔法攻擊等級[％]%+d	??? ??? ??.
1020213	魔法攻擊等級[％]%+d	??? ??? ??.
1020216	防禦力%+d	??? ??? ??.
1020217	防禦力%+d%%	??? ??? ??.
1020218	水屬性傷害(物理攻擊時)%+d	??? ??? ??.
1020219	風屬性傷害(物理攻擊時)%+d	??? ??? ??.
1020220	火屬性傷害(物理攻擊時)%+d	??? ??? ??.
1020221	地屬性傷害(物理攻擊時)%+d	??? ??? ??.
1020224	HP治癒量%+d	??? ??? ??.
1020225	HP治癒量%+d%%	??? ??? ??.
1020228	SP治癒量%+d	??? ??? ??.
1020229	SP治癒量%+d%%	??? ??? ??.
1020232	HP治癒效果%+d%%	??? ??? ??.
1020233	HP治癒效果%+d%%	??? ??? ??.
1020236	SP治癒效果%+d%%	??? ??? ??.
1020237	SP治癒效果%+d%%	??? ??? ??.
1020240	魔法傷害%+d	??? ??? ??.
1020241	魔法傷害%+d%%	??? ??? ??.
1020244	魔法減少傷害%+d	??? ??? ??.
1020245	魔法減少傷害%+d%%	??? ??? ??.
1020254	水屬性最小傷害%+d%%	??? ??? ??.
1020255	水屬性最小傷害%+d%%	??? ??? ??.
1020258	水屬性最大傷害%+d%%	??? ??? ??.
1020259	水屬性最大傷害%+d%%	??? ??? ??.
1020262	風屬性最小傷害%+d%%	??? ??? ??.
1020263	風屬性最小傷害%+d%%	??? ??? ??.
1020266	風屬性最大傷害%+d%%	??? ??? ??.
1020267	風屬性最大傷害%+d%%	??? ??? ??.
1020270	火屬性最小傷害%+d%%	??? ??? ??.
1020271	火屬性最小傷害%+d%%	??? ??? ??.
1020274	火屬性最大傷害%+d%%	??? ??? ??.
1020275	火屬性最大傷害%+d%%	??? ??? ??.
1020278	地屬性最小傷害%+d%%	??? ??? ??.
1020279	地屬性最小傷害%+d%%	??? ??? ??.
1020282	地屬性最大傷害%+d%%	??? ??? ??.
1020283	地屬性最大傷害%+d%%	??? ??? ??.
1020284	物理免疫	??? ??? ??.
1020285	魔法免疫	??? ??? ??.
1020286	水屬性免疫	??? ??? ??.
1020287	風屬性免疫	??? ??? ??.
1020288	火屬性免疫	??? ??? ??.
1020289	地屬性免疫	??? ??? ??.
1020292	目標魔法抵抗力減少%+d%%	??? ??? ??.
1020293	目標魔法抵抗力減少%+d%%	??? ??? ??.
1020296	HP治癒量%+d%%	??? ??? ??.
1020297	HP治癒量%+d%%	??? ??? ??.
1020300	SP治癒量%+d%%	??? ??? ??.
1020301	SP治癒量%+d%%	??? ??? ??.
1020302	毒免疫	??? ??? ??.
1020303	出血免疫	??? ??? ??.
1020304	詛咒免疫	??? ??? ??.
1020307	毒傷害(毒發生時)%+d	??? ??? ??.
1020308	毒傷害(毒發生時)%+d	??? ??? ??.
1020311	出血傷害(出血發生時)%+d	??? ??? ??.
1020312	出血傷害(出血發生時)%+d	??? ??? ??.
1020315	詛咒傷害(詛咒發生時)%+d	??? ??? ??.
1020316	詛咒傷害(詛咒發生時)%+d	??? ??? ??.
1020319	毒傷害(毒發生時)%+d%%	??? ??? ??.
1020320	毒傷害(毒發生時)%+d%%	??? ??? ??.
1020323	出血傷害(出血發生時)%+d%%	??? ??? ??.
1020324	出血傷害(出血發生時)%+d%%	??? ??? ??.
1020327	詛咒傷害(詛咒發生時)%+d%%	??? ??? ??.
1020328	詛咒傷害(詛咒發生時)%+d%%	??? ??? ??.
1020331	毒傷害(毒發生時)%d%%	??? ??? ??.
1020332	毒傷害(毒發生時)%d%%	??? ??? ??.
1020335	出血傷害(出血發生時)%d%%	??? ??? ??.
1020336	出血傷害(出血發生時)%d%%	??? ??? ??.
1020339	詛咒傷害(詛咒發生時)%d%%	??? ??? ??.
1020340	詛咒傷害(詛咒發生時)%d%%	??? ??? ??.
1020365	使用等級%d%%	??? ??? ??.(?? ??)
1030001	強化耐久度:%d	??? ?? ??. ??? ?? ???
1030002	鑲嵌屬性可能等級:%d	??? ?? ??. ?? ??
1040001	剩餘時間:還有%d日%d小時。	??? ??? ?? ?? ??. 24?? ??? ??
1040002	剩餘時間:還有%d小時%d分。	??? ??? ?? ?? ??. 60? ??? ??
1040003	剩餘時間:還有%d分。	??? ??? ?? ?? ??. 60? ??? ??
1040011	剩餘時間:還有%d日%d小時。	??? ??? ?? ?? ??. 24?? ??? ??
1040012	剩餘時間:還有%d小時%d分。	??? ??? ?? ?? ??. 60? ??? ??
1040013	剩餘時間:還有%d分。	??? ??? ?? ?? ??. 60? ??? ??
1041001	再次使用時間:還有%d日%d小時。	??? ?? ?? ??. 24?? ??? ??
1041002	再次使用時間:還有%d小時%d分。	??? ?? ?? ??. 60? ??? ??
1041003	再次使用時間:還有%d分%d秒。	??? ?? ?? ??. 60? ??? ??
1050001	販賣給NPC價格:%s	??? ?? ??. ??? ?? ??
1200001	男	??, ??? ??. ? ??
1200002	女	??, ??? ??, ? ??
1200010	%d ▲	?? ??? ??. ?? ? ??. ? ??? ??.
1200011	%d ▼	?? ??? ??. ?? ? ??. ? ??? ??.
1200012	~	?? ??? ??. ?? ? ??. ? ? ??.
1200021	技能等級上升條件	?? ??. ?? ?? ??? ?? ??.
1200022	要求條件	??, ???, ?? ?? ??. ?? ??? ?? ??. [??? ???]
1200023	裝備效果	??? ??. ??? ?? ? ?? ?? [??? ???]
1200024	Option	??? ??. ??? ??? ?? ?? [??? ???]
1200025	增加及變更屬性	??? ??? ??. ??? ??? ??? ??? ??
1200026	鑲嵌要求條件	??? ??? ??. ??? ?? ??? ??
1200027	升級要求條件	??? ????? ??. ????? ?? ??? ??
1201000	技能等級%d /%d	?? ?. ?? ?? 
1201001	Lv.%d	?? ?? ?. ?? ?? + ?? ?? ??
1202000	技能獲得等級	?? ?. ?? ?? ??
1202001		?? ?. ?? ??? ?? ?? ??? ???
1203000		?? ?. ?? ?? ? ?
1203001	Active	?? ?. ?? ?? Active
1203002	Active	?? ?. ?? ?? Toggle
1203003	Passive	?? ?. ?? ?? Passive
1204003	要求等級:%s	?? ??. ?? ???? ??
1204004	需要Ely:%d	?? ??. ?? ???? ??
1204005	需要經驗值:%d	?? ??. ?? ???? ??
1204006	需要HP:%d	?? ??. ?? ???? ??
1204007	使用SP:%d	?? ??. ?? ???? ??
1204008	需要名聲:%d	?? ??. ?? ???? ??
1204009	需要基本名聲:%d	?? ??. ?? ???? ??
1204012	需要力量:%d	?? ??. ?? ???? ??
1204013	需要基本力量:%d	?? ??. ?? ???? ??
1204016	需要幸運:%d	?? ??. ?? ???? ??
1204017	需要基本幸運:%d	?? ??. ?? ???? ??
1204020	需要魔力:%d	?? ??. ?? ???? ??
1204021	需要基本魔力:%d	?? ??. ?? ???? ??
1204024	需要體力:%d	?? ??. ?? ???? ??
1204025	需要基本體力:%d	?? ??. ?? ???? ??
1204028	需要最大HP:%d	?? ??. ?? ???? ??
1204029	需要基本最大HP:%d	?? ??. ?? ???? ??
1204032	需要最大SP:%d	?? ??. ?? ???? ??
1204033	需要基本最大SP:%d	?? ??. ?? ???? ??
1204036	需要水屬性:%d	?? ??. ?? ???? ??
1204037	需要基本水屬性:%d	?? ??. ?? ???? ??
1204040	需要風屬性:%d	?? ??. ?? ???? ??
1204041	需要基本風屬性:%d	?? ??. ?? ???? ??
1204044	需要火屬性:%d	?? ??. ?? ???? ??
1204045	需要基本火屬性:%d	?? ??. ?? ???? ??
1204048	需要地屬性:%d	?? ??. ?? ???? ??
1204049	需要基本地屬性:%d	?? ??. ?? ???? ??
1204060	需要最大攻擊力:%d	?? ??. ?? ???? ??
1204061	需要基本最大攻擊:%d	?? ??. ?? ???? ??
1204064	需要最小攻擊力:%d	?? ??. ?? ???? ??
1204065	需要基本最小攻擊力:%d	?? ??. ?? ???? ??
1204365	需要等級:%d	?? ??. ?? ???? ??(?? ??)
1205000	空值	?? ?. ?? ?? ?? ??
1205004	Ely消耗:%d	?? ?. ?? ?? ?? ??
1205005	經驗值消耗:%d	?? ?. ?? ?? ?? ??
1205006	HP消耗:%d	?? ?. ?? ?? ?? ??
1205007	SP消耗:%d	?? ?. ?? ?? ?? ??
1206000		?? ??? ??. ?? ?? ?? ?? ??? ??
1206001	拳套	?? ??? ??. ?? ?? ?? ?? ??? ??
1206002	短劍	?? ??? ??. ?? ?? ?? ?? ??? ??
1206003	單手劍	?? ??? ??. ?? ?? ?? ?? ??? ??
1206004	雙手劍	?? ??? ??. ?? ?? ?? ?? ??? ??
1206005	法杖	?? ??? ??. ?? ?? ?? ?? ??? ??
1206006	雙刀	?? ??? ??. ?? ?? ?? ?? ??? ??
1206007	鈍器	?? ??? ??. ?? ?? ?? ?? ??? ??
1206008	槍	?? ??? ??. ?? ?? ?? ?? ??? ??
1206009	弓箭	?? ??? ??. ?? ?? ?? ?? ??? ??
1206010	十字弓	?? ??? ??. ?? ?? ?? ?? ??? ??
1206011	魔法石	?? ??? ??. ?? ?? ?? ?? ??? ??
1206012	盾牌	?? ??? ??. ?? ?? ?? ?? ??? ??
1206013	溜溜球	?? ??? ??. ?? ?? ?? ?? ??? ??
1206014	吉他	?? ??? ??. ?? ?? ?? ?? ??? ??
1206015	手槍	?? ??. ??? ?? [?? ???]
1207000	再次使用時間:%.1f sec	?? ??. ??? ?? [?? ???]
1208001	行動	?? ??. ?? ?? ??
1208002	武器	?? ??. ?? ?? ??
1208003	精靈魔法	?? ??. ?? ?? ??
1208004	其他	?? ??. ?? ?? ??
1208005	圖示	?? ??. ?? ?? ??
1209000	需要技能點數:%d	?? ??. ?? ?? ? ?? ???
1210003	升級需要等級:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210004	升級需要Ely:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210005	升級需要經驗值:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210006	升級需要HP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210007	升級需要SP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210008	升級需要名聲:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210009	升級需要基本名聲:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210012	升級需要力量:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210013	升級需要基本力量:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210016	升級需要幸運:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210017	升級需要基本幸運:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210020	升級需要魔力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210021	升級需要基本魔力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210024	升級需要體力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210025	升級需要基本體力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210028	升級需要最大HP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210029	升級需要基本最大HP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210032	升級需要最大SP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210033	升級需要基本最大SP:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210036	升級需要水屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210037	升級需要基本水屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210040	升級需要風屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210041	升級需要基本風屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210044	升級需要火屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210045	升級需要基本火屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210048	升級需要地屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210049	升級需要基本地屬性:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210060	升級需要最大攻擊力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210061	升級需要基本最大攻擊力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210064	升級需要最小攻擊力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210065	升級需要基本最小攻擊力:%d	?? ??. ?? ?? ? ?? ?? ??. ????
1210365	升級需要等級:%d	?? ??. ?? ?? ? ?? ?? ??. ????(?? ??)
1211001	職業:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211002	性別:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211003	等級:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211004	Ely:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211005	經驗值:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211006	HP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211007	SP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211008	名聲:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211009	名聲:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211012	力量:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211013	基本力量:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211016	幸運:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211017	基本幸運:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211020	魔力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211021	基本魔力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211024	體力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211025	基本體力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211028	最大HP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211029	基本最大HP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211032	最大SP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211033	基本最大SP:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211036	水屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211037	基本水屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211040	風屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211041	基本風屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211044	火屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211045	基本火屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211048	地屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211049	基本地屬性:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211060	最大攻擊力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211061	基本最大攻擊力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211064	最小攻擊力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1211065	基本最小攻擊力:%s	?? ??. ?? ?? ?? ?? ?? ?.
1212001	物品:%s%d個	?? ??. ?? ?? ?? ?? ?? ?.
1213001	技能:%s	?? ??. ?? ?? ?? ?? ?? ?.
1213002	技能Lv:%s%dLv	?? ??. ?? ?? ?? ?? ?? ?.
1214001	任務完成數量:%s%d次	?? ??. ?? ?? ?? ?? ?? ?.
1215001	稱號:%s	?? ??. ?? ?? ?? ?? ?? ?.
1221001	職業:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221002	性別限制:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221003	限制等級:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221004	限制Ely:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221005	限制經驗值:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221006	限制HP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221007	限制SP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221008	限制名聲:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221009	限制名聲:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221012	限制力量:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221013	限制基本力量:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221016	限制幸運:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221017	限制基本幸運:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221020	限制魔力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221021	限制基本魔力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221024	限制體力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221025	限制基本體力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221028	限制最大HP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221029	限制基本最大HP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221032	限制最大SP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221033	限制基本最大SP:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221036	限制水屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221037	限制基本水屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221040	限制風屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221041	限制基本風屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221044	限制火屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221045	限制基本火屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221048	限制地屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221049	限制基本地屬性:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221060	限制最大攻擊力:%s	??, ??? ??. ??? ?? ?? ?? ?.
