index	Name	Description	Attack_Type	BuffID	BuffLv	BuffElv	BuffID_Check	BuffLv_Check	BuffElv_Check	Buff_Icon	Buff_IconIndex	Buff_Name	Buff_Description	EffectType	Require1_Type	Require1_ID	Require1_Value1	Require1_ValueElv1	Require1_Value2	Require1_ValueElv2	Require2_Type	Require2_ID	Require2_Value1	Require2_ValueElv1	Require2_Value2	Require2_ValueElv2	Apply_Probability	Apply_ProbabilityElv	ApplyTime	ApplyTimeElv	MissileType	FxMissile_Target	FxMissileSpeed_Target	Fx_Target	Sound_Target	Fx_Caster	Sound_Caster	AttachmentPoint_Target	AttachmentFx_Target	RequireEquipType	RequireItemKind	RequireAction	RequireStand	EffectEquipType	EffectItemKind	EffectAction	EffectStand	StatusEffect	StatusEffectType	EffectParameter1	EffectParameter2	EffectParameter3	EffectParameter4	EffectParameter5	EffectParameter6	EffectParameter7	EffectParameter8	EffectParameter9	EffectDelayTime	EffectDelayTimeElv	EffectValueType	SaveCheck	Broadcast	Translucency	Target_Dam_Factor	Effect_Start_Delay	BuffGroup_Check	Log	Colouring_C	Colouring_M
21001502	絕影刺物理攻擊		105	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	100	26	100	40	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21003401	旋槍陣物理攻擊		100	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-20	10	0	8	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21004301	連訣槍物理攻擊_1		100	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	5	15	0	15	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21004302	連訣槍物理攻擊_2		105	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	5	15	0	15	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21006101	夜影 斷刃殺物理攻擊		305	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	150	50	150	50	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
23010601	憤怒		0	1002	0	1	1002	0	1	10006000	2	憤怒	物理攻擊的攻擊力上升。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	3172	0	0	1099511103487	1	0	0	0	1	3	90	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23010602	憤怒		0	1006	0	1	1006	0	1	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	94	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23010701	憤怒爆發		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	2001	23010702	0	1	1	2	2	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23010702	憤怒爆發		0	1007	0	1	1007	0	1	10006000	65	憤怒爆發	對於物理攻擊的物理爆擊損傷上升。	2	7	1	23010601	0	0	0	0	0	0	0	0	0	10000	0	200	20	0	0	0	0	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	156	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23010301	刺傷		0	112	0	1	112	0	1	10006001	64	刺傷	攻擊敵人時，會有機率的讓對方流血。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	6000	0	0	0	0	0	0	0	0	0	3172	0	0	1099511103487	1	0	0	0	1	5	2002	23010303	0	1	1	1	1	2	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23010303	刺傷		0	102	0	1	102	0	1	0	0	刺傷	出血狀態。	2	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	40008	10	2	10	2	0	0	0	0	0	15	0	1	0	1	0	1.000000	15	0	0	0	0
25002001	熟練單手劍[初級]		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	3	0	1	3	176	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
25002201	熟練單手劍[上級]		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	3	0	1	3	176	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
21002201	昇龍斬殺物理攻擊		102	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	75	25	150	30	0	0	0	0	0	0	0	0	0	1	0	2.700000	0	0	0	0	0
21001201	順烈斬物理攻擊		102	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	50	13	10	20	0	0	0	0	0	0	0	0	0	1	0	2.700000	0	0	0	0	0
21003101	龍尾襲物理攻擊		102	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	130	30	130	30	0	0	0	0	0	0	0	0	0	1	0	2.700000	0	0	0	0	0
21004001	音速斬物理攻擊		102	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	25	15	0	15	0	0	0	0	0	0	0	0	0	1	0	2.700000	0	0	0	0	0
21005801	閃影劍物理攻擊		102	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	185	50	200	40	0	0	0	0	0	0	0	0	0	1	0	2.700000	0	0	0	0	0
25005001	熟練鈍器[初級](命中率上升)		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	7	0	1	3	176	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
21002401	打狗棒法物理攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-25	8	0	10	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21001401	百烈擊暈物理攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	50	13	10	20	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21003301	龍虎相搏物理攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	55	15	10	20	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21005001	天沖烈斬物理攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	70	17	40	20	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21006801	崩碎襲Knock back		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	0	12	0	10	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21006802	崩碎襲物理攻擊		110	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	0	12	0	10	0	0	0	0	0	0	0	0	0	1	0	2.900000	0	0	0	0	0
21006803	崩碎襲(增益效果)		0	1200	1	0	1200	1	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23020305	守護神的祝福		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	1	5	2002	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23020306	守護神的祝福		0	10001	0	1	10001	0	1	10006000	17	守護神的祝福	體力增加了。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	6000	0	0	0	0	0	0	0	0	0	3172	0	0	1099511103487	1	0	0	0	1	3	26	0	15	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23121501	技能:挑釁		0	1064	1	0	1064	1	0	10006001	93	挑釁	受到敵人挑釁了。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	1	30	0	0	0	0	0	0	0	0	16338	0	0	1099511103487	1	0	0	0	1	12	120001	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23020301	衝擊緩和		0	1032	0	1	1032	0	1	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	5	2001	23020701	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23020701	衝擊緩和		0	1033	0	1	1033	0	1	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	144	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23020302	痛苦緩和(HP 恢復)		0	0	0	0	0	0	0	0	0			1	1	6	1	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	3148	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	6	10	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23020702	魔力吸收(SP 恢復)		0	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	3148	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	7	10	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
21008001	機械槍		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-10	9	20	10	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
21008101	機械召喚		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	130	40	120	25	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
21008201	閃電術		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-25	10	20	10	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
21008301	大槌落下		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-25	10	30	10	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
23130024	緩慢機器召喚		0	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050005	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23130025	緩慢機器攻擊		0	1603	1	0	1603	1	0	10006001	6	緩慢效果	移動速度變緩慢。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	107	-50	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130026	克爾機器召喚		0	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050006	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23130027	克爾機器攻擊		0	1604	1	0	1604	1	0	10006001	5	克爾效果	防禦力降低。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	40	0	0	0	0	0	0	0	0	0	15653	0	0	1099511103487	1	0	0	0	1	3	15	-30	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130028	推動機器召喚		0	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050013	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23130029	推動機器攻擊		61	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	1008	1000	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130002	 技能: 機械槍 +1Lv		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	1000021	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130003	 技能: 機械召喚 +1Lv		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	1001021	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130004	攻擊力圖騰召喚		0	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050009	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23130006	攻擊力圖騰 (強化)Mac dam		0	1615	2	0	1615	2	0	0	0			2	7	1	23130007	0	0	0	0	0	0	0	0	0	10000	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	94	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23130007	攻擊力圖騰 (強化) 確認用		0	1602	1	0	1602	1	0	10006000	33	機器效果	力量_SMG在周圍的時候，物理最大損傷會上升4%。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
23130012	烈火機器[1] 召喚		0	12001	1	0	12001	2	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050001	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130013	烈火機器[1] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130014	烈火機器[2] 召喚		0	12001	3	0	12001	4	0	0	0			2	3	2	3001314	0	1	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050002	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130015	烈火機器[2] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130016	烈火機器[3] 召喚		0	12001	5	0	12001	6	0	0	0			2	3	2	3001314	0	2	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050003	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130017	烈火機器[3] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130018	烈火機器[4] 召喚		0	12001	7	0	12001	8	0	0	0			2	3	2	3001314	0	3	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050004	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130019	烈火機器[4] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130020	烈火機器[5] 召喚		0	12001	9	0	12001	10	0	0	0			2	3	2	3001314	0	4	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050011	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130021	烈火機器[5] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130022	烈火機器[6] 召喚		0	12011	1	0	12011	2	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	100001	810050012	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1.000000	0	0	0	0	0
23130023	烈火機器[6] 攻擊		103	0	0	0	0	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500000	0	0	0	0	0
23130070	體力藥水		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	200	0	0	0	0	2033	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	5	2002	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
23130071	體力藥水		0	1280	0	1	1280	0	1	10006000	4	體力藥水	體力增加了。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	6000	0	0	0	0	511	0	0	0	0	0	0	0	1099511103487	1	0	0	0	1	3	30	0	100	0	0	0	0	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
25010001	熟練水[初級](命中率上升)		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	180	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
25010203	熟練水[上級](水最低損傷 1%)		0	0	0	0	0	0	0	0	0			2	1	1	262400	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	254	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
23031401	冰之盾(發動效果、被攻擊時，移動速度降低)		0	1036	10	0	1036	10	0	10006000	49	冰之盾	一定時間之內，利用冷氣保護自己。	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	6000	0	0	0	0	0	0	0	0	0	7027	0	0	0	1	0	0	0	1	5	2002	23031402	0	1	1	2	1	0	0	0	0	0	1	0	1	0	1.000000	0	0	0	0	0
22002001	魔法杖物理攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-20	60	0	10	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
22000901	魔法泡泡魔法攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	1	0	0	0	1	2	20002	65	30	60	20	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
22001001	冰封龍槍魔法攻擊		103	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15025	13	0	0	0	0	0	0	0	1	0	0	0	1	2	20002	25	20	20	12	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
22001101	冰風暴 Knock back		54	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	1	0	0	0	1	4	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
22001102	冰風暴魔法攻擊		103	99	1	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	20002	190	60	100	20	0	0	0	0	0	0	0	0	0	1	0	3.000000	0	0	0	0	0
23032301	解毒術		0	101	101	10	101	101	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	10	0	0	0	0	3148	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.000000	0	0	0	0	0
